"wbid","period","year","masterCode","lmean","geo_mean"
"3226G3","1995-2008",1995,"CHLAC",0.725611999006407,2.06599510009212
"3226G3","1995-2008",1995,"NO3O2",-3.30831993973987,0.0365775746903101
"3226G3","1995-2008",1995,"TKN",-0.462303045233692,0.629831443601248
"3226G3","1995-2008",1995,"TN",-0.33774449382721,0.713377536978636
"3226G3","1995-2008",1995,"TP",-3.83687738014091,0.0215608225900692
"3226G3","1995-2008",1996,"CHLAC",0.681902540393608,1.97763668899776
"3226G3","1995-2008",1996,"NO3O2",-3.16108624594895,0.0423796813117789
"3226G3","1995-2008",1996,"TKN",-0.076307405600303,0.92653134185378
"3226G3","1995-2008",1996,"TN",-0.0189731804809548,0.981205677354276
"3226G3","1995-2008",1996,"TP",-4.24255446543847,0.0143708351145813
"3226G3","1995-2008",1997,"CHLAC",1.08344241768671,2.95483383565069
"3226G3","1995-2008",1997,"NO3O2",-3.11354122212201,0.0444432927744043
"3226G3","1995-2008",1997,"TKN",-0.00315582009653337,0.996849154269597
"3226G3","1995-2008",1997,"TN",0.0551330075748478,1.05668115192643
"3226G3","1995-2008",1997,"TP",-4.27594371547686,0.0138989258963261
"3226G3","1995-2008",1998,"CHLAC",0.661359841004325,1.93742513404195
"3226G3","1995-2008",1998,"NO3O2",-3.00569995004751,0.0495040918074297
"3226G3","1995-2008",1998,"TKN",-0.689734636862692,0.501709186526794
"3226G3","1995-2008",1998,"TN",-0.576895266846574,0.561639402914724
"3226G3","1995-2008",1998,"TP",-3.12986155002961,0.0437238503995056
"3226G3","1995-2008",1999,"CHLAC",0.439660123304903,1.55217957918469
"3226G3","1995-2008",1999,"NO3O2",-3.07228541982478,0.0463151841697111
"3226G3","1995-2008",1999,"TKN",-0.939638677347498,0.39076900354623
"3226G3","1995-2008",1999,"TN",-0.761942001668338,0.46675909932952
"3226G3","1995-2008",1999,"TP",-3.14242867693233,0.0431778055170344
"3226G3","1995-2008",2000,"CHLAC",0.647459290259726,1.9106801731443
"3226G3","1995-2008",2000,"NO3O2",-3.43273483359463,0.0322984888849811
"3226G3","1995-2008",2000,"TKN",-1.77252979365487,0.169902626105024
"3226G3","1995-2008",2000,"TN",-1.33327842829182,0.263611611324861
"3226G3","1995-2008",2000,"TP",-4.42284862919414,0.012
"3226G3","1995-2008",2001,"CHLAC",0.427681166061677,1.53369700834788
"3226G3","1995-2008",2001,"NO3O2",-2.89700192097997,0.0551884315528834
"3226G3","1995-2008",2001,"TKN",-3.46399376015413,0.031304489408054
"3226G3","1995-2008",2001,"TN",-2.27655725870869,0.102636951633785
"3226G3","1995-2008",2001,"TP",-4.30475979421192,0.0135041289221774
"3226G3","1995-2008",2002,"CHLAC",0.616175550100736,1.85183224209812
"3226G3","1995-2008",2002,"NO3O2",-3.50163230395784,0.0301481323211609
"3226G3","1995-2008",2002,"TKN",-0.893402286182042,0.409260958449331
"3226G3","1995-2008",2002,"TN",-0.807127326745601,0.446137835391033
"3226G3","1995-2008",2002,"TP",-3.97337062524327,0.0188099249562613
"3226G3","1995-2008",2003,"CHLAC",0.227851110036478,1.25589832085596
"3226G3","1995-2008",2003,"NO3O2",-3.53782729250017,0.0290764330861624
"3226G3","1995-2008",2003,"TKN",-1.05969274597677,0.346562276626914
"3226G3","1995-2008",2003,"TN",-0.944615362781803,0.388829100286114
"3226G3","1995-2008",2003,"TP",-4.38452878452691,0.0124687622239333
"3226G3","1995-2008",2004,"CHLAC",0.558961727464061,1.74885576841423
"3226G3","1995-2008",2004,"NO3O2",-2.62887795179996,0.0721593831376671
"3226G3","1995-2008",2004,"TKN",-0.277633970394117,0.757574065308074
"3226G3","1995-2008",2004,"TN",-0.169379910598952,0.844188126439867
"3226G3","1995-2008",2004,"TP",-3.35889349004332,0.0347737151267591
"3226G3","1995-2008",2005,"CHLAC",0.350120789189773,1.41923896696522
"3226G3","1995-2008",2005,"NO3O2",-2.8895791921999,0.0555996044366362
"3226G3","1995-2008",2005,"TKN",-0.587711582905056,0.555597269342104
"3226G3","1995-2008",2005,"TN",-0.495918565857173,0.609011233361377
"3226G3","1995-2008",2005,"TP",-3.76085211400338,0.0232639084244139
"3226G3","1995-2008",2006,"CHLAC",0.627839400677212,1.87355819448467
"3226G3","1995-2008",2006,"NO3O2",-2.72992120504344,0.0652244288216905
"3226G3","1995-2008",2006,"TKN",-0.512411951051281,0.599048958160072
"3226G3","1995-2008",2006,"TN",-0.399838033728288,0.670428624067102
"3226G3","1995-2008",2006,"TP",-3.52934803063107,0.029324028004132
"3226G3","1995-2008",2007,"CHLAC",0.190106840920743,1.2093788018997
"3226G3","1995-2008",2007,"NO3O2",-3.24546547517667,0.0389504296788553
"3226G3","1995-2008",2007,"TKN",-0.641671816037888,0.526411624584358
"3226G3","1995-2008",2007,"TN",-0.581209859998607,0.559221377541958
"3226G3","1995-2008",2007,"TP",-3.42854354705501,0.0324341451953406
"3226G3","1995-2008",2008,"CHLAC",0.112933128301161,1.1195570637625
"3226G3","1995-2008",2008,"NO3O2",-3.37566858637834,0.0341952481900482
"3226G3","1995-2008",2008,"TKN",-0.836912412744963,0.433045527248903
"3226G3","1995-2008",2008,"TN",-0.747976279749944,0.473323458427374
"3226G3","1995-2008",2008,"TP",-3.4688776739808,0.0311519737192958
"3226G3","2009-2016",2009,"CHLAC",0.365975754164579,1.44192028166885
"3226G3","2009-2016",2009,"NO3O2",-3.06235302251671,0.0467774971175319
"3226G3","2009-2016",2009,"TKN",-0.892651797952487,0.409568219264855
"3226G3","2009-2016",2009,"TN",-0.762882043732329,0.466320532310419
"3226G3","2009-2016",2009,"TP",-3.72006486078199,0.0242323960625599
"3226G3","2009-2016",2010,"CHLAC",0.363487528102876,1.43833691800333
"3226G3","2009-2016",2010,"NO3O2",-2.54393910451018,0.0785563478639401
"3226G3","2009-2016",2010,"TKN",-0.864409160190204,0.421300400153863
"3226G3","2009-2016",2010,"TN",-0.683340641690125,0.504927390268883
"3226G3","2009-2016",2010,"TP",-3.58816255974344,0.0276490873236886
"3226G3","2009-2016",2011,"CHLAC",0.290694761299657,1.33735630874093
"3226G3","2009-2016",2011,"NO3O2",-3.29562467182263,0.0370448969146843
"3226G3","2009-2016",2011,"TKN",-1.43986192881148,0.236960473837814
"3226G3","2009-2016",2011,"TN",-1.3184605697454,0.267546854828956
"3226G3","2009-2016",2011,"TP",-3.46372702241688,0.0313128406104654
"3226G3","2009-2016",2012,"CHLAC",0.525312360056418,1.69098696267696
"3226G3","2009-2016",2012,"NO3O2",-3.44870528921698,0.0317867644145115
"3226G3","2009-2016",2012,"TKN",-1.53011969228467,0.216509751218283
"3226G3","2009-2016",2012,"TN",-1.38133061581507,0.251244021274322
"3226G3","2009-2016",2012,"TP",-3.41730991405653,0.0328005526694207
"3226G3","2009-2016",2013,"CHLAC",0.539385366999977,1.71495247180385
"3226G3","2009-2016",2013,"NO3O2",-3.75692130260675,0.0233555344250642
"3226G3","2009-2016",2013,"TKN",-1.92642451890392,0.145668102022196
"3226G3","2009-2016",2013,"TN",-1.73423119985123,0.176535868930919
"3226G3","2009-2016",2013,"TP",-3.19497733613963,0.0409674538462152
"3226G3","2009-2016",2014,"CHLAC",0.718870006198664,2.05211302499519
"3226G3","2009-2016",2014,"NO3O2",NA,NA
"3226G3","2009-2016",2014,"TKN",NA,NA
"3226G3","2009-2016",2014,"TN",NA,NA
"3226G3","2009-2016",2014,"TP",NA,NA
"3226G3","2009-2016",2015,"CHLAC",0.362935803248732,1.43754357065189
"3226G3","2009-2016",2015,"NO3O2",-4.2488078357168,0.0142812493597839
"3226G3","2009-2016",2015,"TKN",-1.76380227739145,0.171391943605534
"3226G3","2009-2016",2015,"TN",-1.47622244492113,0.228499228522864
"3226G3","2009-2016",2015,"TP",-3.76914321382911,0.0230718224397361
"3226G3","2017-2023",2016,"CHLAC",0.677791081001472,1.96952240825681
"3226G3","2017-2023",2016,"NO3O2",-2.48396382447859,0.0834119391590755
"3226G3","2017-2023",2016,"TKN",-1.0532240179542,0.348811360249794
"3226G3","2017-2023",2016,"TN",-0.757946539017184,0.468627748450982
"3226G3","2017-2023",2016,"TP",-1.99602078039319,0.135874884933975
"3226G3","2017-2023",2017,"CHLAC",0.660255740550295,1.93528720253456
"3226G3","2017-2023",2017,"NO3O2",-3.94465250570119,0.0193579419755283
"3226G3","2017-2023",2017,"TKN",-2.35007914909832,0.0953616141310688
"3226G3","2017-2023",2017,"TN",-2.35007914909832,0.0953616141310688
"3226G3","2017-2023",2017,"TP",-4.9242077614529,0.00726848237132855
"3226G3","2017-2023",2018,"CHLAC",0.200534663023405,1.22205597166063
"3226G3","2017-2023",2018,"NO3O2",-2.99414539018683,0.0500794071566426
"3226G3","2017-2023",2018,"TKN",-1.66918533838519,0.188400485781489
"3226G3","2017-2023",2018,"TN",-1.71805717851987,0.179414379636522
"3226G3","2017-2023",2018,"TP",-1.62845420818477,0.196232674663767
"3226G3","2017-2023",2019,"CHLAC",0.482011112017377,1.61932777920037
"3226G3","2017-2023",2019,"NO3O2",-2.62823121697885,0.0722060662175716
"3226G3","2017-2023",2019,"TKN",-2.07770410967462,0.125217367776838
"3226G3","2017-2023",2019,"TN",-1.66271518672333,0.189623417508253
